Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
20,01-03-2020 18:00,01-01-2020 19:00,02-01-2020 18:02,Bangalore,369,Extortion,62,F,Blunt Object,Other Crime,2,Yes,03-05-2020 18:00
21,01-03-2020 22:00,01-01-2020 20:00,02-01-2020 02:33,Hyderabad,251,Traffic Violation,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00
22,01-03-2020 12:00,01-01-2020 21:00,02-01-2020 10:11,Mumbai,374,Vandalism,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00
23,01-02-2020 10:00,01-01-2020 22:00,01-01-2020 22:03,Jaipur,507,Shoplifting,69,F,Blunt Object,Other Crime,13,No,
24,01-03-2020 09:00,01-01-2020 23:00,01-01-2020 23:40,Chennai,322,Vandalism,77,F,Other,Other Crime,18,No,
25,01-03-2020 01:00,02-01-2020 00:00,02-01-2020 20:47,Bangalore,527,Drug Offense,18,F,Other,Other Crime,1,No,
26,01-02-2020 16:00,02-01-2020 01:00,02-01-2020 08:21,Jaipur,282,Assault,60,M,Firearm,Violent Crime,15,Yes,03-12-2020 16:00
27,01-02-2020 06:00,02-01-2020 02:00,02-01-2020 04:02,Pune,247,Identity Theft,49,M,Blunt Object,Violent Crime,13,No,
28,01-02-2020 15:00,02-01-2020 03:00,02-01-2020 20:11,Lucknow,489,Public Intoxication,41,F,None,Other Crime,7,No,
29,01-04-2020 14:00,02-01-2020 04:00,02-01-2020 19:56,Bangalore,387,Vandalism,33,F,Explosives,Other Crime,19,No,
30,01-04-2020 23:00,02-01-2020 05:00,02-01-2020 09:35,Bhopal,517,Burglary,37,F,None,Other Crime,4,No,
31,01-03-2020 07:00,02-01-2020 06:00,02-01-2020 13:06,Bhopal,570,Homicide,32,F,Explosives,Other Crime,13,No,
32,01-04-2020 13:00,02-01-2020 07:00,02-01-2020 15:05,Hyderabad,222,Vandalism,60,M,Knife,Other Crime,3,Yes,18-03-2020 13:00
33,01-03-2020 04:00,02-01-2020 08:00,03-01-2020 03:01,Delhi,319,Illegal Possession,73,F,Knife,Other Crime,19,No,
34,01-05-2020 07:00,02-01-2020 09:00,03-01-2020 02:40,Patna,575,Vehicle - Stolen,24,F,Explosives,Violent Crime,6,No,
35,01-04-2020 21:00,02-01-2020 10:00,02-01-2020 22:18,Kanpur,341,Vandalism,34,F,Other,Other Crime,14,No,
36,01-04-2020 21:00,02-01-2020 11:00,02-01-2020 17:48,Chennai,396,Counterfeiting,32,F,Blunt Object,Other Crime,11,No,
37,01-03-2020 05:00,02-01-2020 12:00,03-01-2020 00:18,Lucknow,187,Sexual Assault,33,F,Blunt Object,Violent Crime,9,Yes,07-02-2020 05:00
38,01-04-2020 05:00,02-01-2020 13:00,02-01-2020 18:04,Varanasi,280,Shoplifting,22,F,Explosives,Other Crime,14,No,
39,01-03-2020 23:00,02-01-2020 14:00,02-01-2020 21:24,Surat,487,Vehicle - Stolen,32,F,None,Violent Crime,13,Yes,03-11-2020 23:00
40,01-03-2020 02:00,02-01-2020 15:00,03-01-2020 14:05,Mumbai,154,Fraud,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00
41,01-05-2020 01:00,02-01-2020 16:00,03-01-2020 01:51,Visakhapatnam,148,Homicide,28,F,Firearm,Other Crime,2,No,
42,01-03-2020 11:00,02-01-2020 17:00,03-01-2020 11:09,Surat,583,Illegal Possession,42,M,Blunt Object,Other Crime,6,No,
43,01-03-2020 03:00,02-01-2020 18:00,03-01-2020 09:30,Delhi,172,Firearm Offense,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00
44,01-04-2020 07:00,02-01-2020 19:00,03-01-2020 08:34,Mumbai,300,Sexual Assault,44,M,Other,Violent Crime,7,No,
45,01-05-2020 19:00,02-01-2020 20:00,03-01-2020 06:22,Kolkata,387,Arson,44,F,Blunt Object,Fire Accident,10,Yes,01-12-2020 19:00
46,01-04-2020 19:00,02-01-2020 21:00,03-01-2020 09:02,Patna,297,Drug Offense,67,M,Knife,Other Crime,8,No,
47,01-05-2020 04:00,02-01-2020 22:00,03-01-2020 09:55,Delhi,555,Robbery,47,F,None,Violent Crime,9,No,
48,01-05-2020 17:00,02-01-2020 23:00,03-01-2020 03:42,Lucknow,128,Firearm Offense,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00
49,01-05-2020 19:00,03-01-2020 00:00,03-01-2020 02:59,Jaipur,139,Illegal Possession,77,F,Firearm,Other Crime,17,No,
50,01-03-2020 13:00,03-01-2020 01:00,03-01-2020 06:06,Hyderabad,561,Drug Offense,37,F,Blunt Object,Other Crime,7,No,
51,01-03-2020 05:00,03-01-2020 02:00,03-01-2020 17:10,Nagpur,573,Burglary,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00
52,01-05-2020 12:00,03-01-2020 03:00,03-01-2020 19:13,Kolkata,260,Burglary,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00
53,01-05-2020 00:00,03-01-2020 04:00,03-01-2020 22:01,Ghaziabad,211,Public Intoxication,29,M,Poison,Other Crime,15,Yes,20-01-2020 00:00
54,01-05-2020 10:00,03-01-2020 05:00,03-01-2020 18:47,Delhi,312,Burglary,75,M,Explosives,Other Crime,2,No,
55,01-06-2020 02:00,03-01-2020 06:00,03-01-2020 07:47,Pune,548,Firearm Offense,61,F,Poison,Fire Accident,5,No,
56,01-04-2020 04:00,03-01-2020 07:00,03-01-2020 11:11,Meerut,596,Burglary,49,F,None,Other Crime,19,No,
57,01-06-2020 01:00,03-01-2020 08:00,03-01-2020 20:16,Kanpur,188,Sexual Assault,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00
58,01-03-2020 18:00,03-01-2020 09:00,03-01-2020 09:43,Ahmedabad,110,Assault,70,F,None,Violent Crime,15,No,
59,01-04-2020 14:00,03-01-2020 10:00,04-01-2020 02:40,Chennai,449,Traffic Violation,75,F,Blunt Object,Traffic Fatality,16,No,
60,01-05-2020 18:00,03-01-2020 11:00,04-01-2020 05:33,Thane,352,Shoplifting,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00
61,01-03-2020 22:00,03-01-2020 12:00,03-01-2020 15:04,Mumbai,196,Shoplifting,16,M,Poison,Other Crime,10,No,
62,01-05-2020 21:00,03-01-2020 13:00,04-01-2020 03:32,Surat,359,Drug Offense,30,M,Explosives,Other Crime,9,Yes,02-09-2020 21:00
63,01-03-2020 20:00,03-01-2020 14:00,04-01-2020 09:27,Chennai,495,Fraud,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00
64,01-06-2020 06:00,03-01-2020 15:00,03-01-2020 23:24,Thane,259,Illegal Possession,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00
65,01-05-2020 18:00,03-01-2020 16:00,04-01-2020 00:59,Visakhapatnam,289,Drug Offense,58,F,Explosives,Other Crime,19,No,
66,01-06-2020 14:00,03-01-2020 17:00,04-01-2020 11:49,Lucknow,409,Extortion,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00
67,01-03-2020 21:00,03-01-2020 18:00,04-01-2020 17:48,Bhopal,306,Cybercrime,25,M,None,Other Crime,6,No,
68,01-04-2020 20:00,03-01-2020 19:00,04-01-2020 08:46,Visakhapatnam,420,Burglary,22,M,Knife,Other Crime,17,Yes,05-02-2020 20:00
69,01-06-2020 09:00,03-01-2020 20:00,04-01-2020 02:24,Hyderabad,469,Public Intoxication,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00
70,01-06-2020 12:00,03-01-2020 21:00,04-01-2020 17:23,Visakhapatnam,292,Firearm Offense,31,F,Firearm,Fire Accident,1,No,
71,01-06-2020 20:00,03-01-2020 22:00,04-01-2020 00:50,Kolkata,512,Firearm Offense,58,F,Poison,Fire Accident,6,No,
72,01-05-2020 18:00,03-01-2020 23:00,04-01-2020 11:34,Nagpur,244,Arson,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00
73,01-05-2020 21:00,04-01-2020 00:00,04-01-2020 07:58,Lucknow,269,Burglary,35,F,Blunt Object,Other Crime,2,No,
74,01-06-2020 05:00,04-01-2020 01:00,04-01-2020 03:01,Chennai,524,Arson,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00
75,01-05-2020 02:00,04-01-2020 02:00,05-01-2020 01:45,Ahmedabad,404,Cybercrime,70,F,Knife,Other Crime,18,No,
76,01-06-2020 00:00,04-01-2020 03:00,04-01-2020 20:57,Delhi,191,Vandalism,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00
77,01-04-2020 22:00,04-01-2020 04:00,04-01-2020 14:30,Mumbai,369,Kidnapping,25,F,Explosives,Other Crime,14,No,
78,01-05-2020 21:00,04-01-2020 05:00,04-01-2020 17:02,Indore,517,Identity Theft,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00
79,01-05-2020 20:00,04-01-2020 06:00,05-01-2020 03:40,Mumbai,229,Robbery,39,F,Poison,Violent Crime,4,No,
80,01-07-2020 03:00,04-01-2020 07:00,04-01-2020 23:54,Visakhapatnam,154,Vehicle - Stolen,54,F,None,Violent Crime,15,Yes,15-01-2020 03:00
81,01-05-2020 03:00,04-01-2020 08:00,04-01-2020 23:33,Delhi,197,Assault,61,F,Knife,Violent Crime,10,Yes,03-04-2020 03:00
82,01-06-2020 05:00,04-01-2020 09:00,04-01-2020 15:37,Jaipur,421,Fraud,16,F,Explosives,Other Crime,17,No,
83,01-06-2020 12:00,04-01-2020 10:00,05-01-2020 09:17,Mumbai,305,Robbery,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00
84,01-04-2020 19:00,04-01-2020 11:00,05-01-2020 06:13,Kolkata,150,Traffic Violation,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00
85,01-05-2020 18:00,04-01-2020 12:00,04-01-2020 12:40,Lucknow,542,Public Intoxication,48,M,Firearm,Other Crime,3,No,
86,01-06-2020 17:00,04-01-2020 13:00,05-01-2020 06:42,Mumbai,438,Vandalism,22,M,Other,Other Crime,5,Yes,03-11-2020 17:00
87,01-07-2020 06:00,04-01-2020 14:00,04-01-2020 16:00,Lucknow,498,Public Intoxication,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00
88,01-07-2020 03:00,04-01-2020 15:00,04-01-2020 22:04,Rajkot,345,Robbery,11,F,Firearm,Violent Crime,1,No,
89,01-06-2020 22:00,04-01-2020 16:00,04-01-2020 21:21,Mumbai,108,Homicide,16,F,Knife,Other Crime,6,No,
90,01-06-2020 18:00,04-01-2020 17:00,05-01-2020 06:38,Hyderabad,219,Vehicle - Stolen,73,F,Blunt Object,Violent Crime,12,No,
91,01-05-2020 04:00,04-01-2020 18:00,05-01-2020 17:15,Kolkata,219,Burglary,72,F,Poison,Other Crime,9,No,
92,01-04-2020 20:00,04-01-2020 19:00,05-01-2020 09:21,Jaipur,510,Cybercrime,60,F,None,Other Crime,7,No,
93,01-05-2020 16:00,04-01-2020 20:00,05-01-2020 07:36,Hyderabad,597,Fraud,53,M,None,Other Crime,13,Yes,04-01-2020 16:00
94,01-06-2020 21:00,04-01-2020 21:00,05-01-2020 08:12,Mumbai,272,Sexual Assault,42,F,Firearm,Violent Crime,3,No,
95,01-06-2020 08:00,04-01-2020 22:00,04-01-2020 22:16,Vasai,413,Public Intoxication,10,M,Firearm,Other Crime,11,No,
96,01-06-2020 08:00,04-01-2020 23:00,05-01-2020 14:10,Hyderabad,355,Drug Offense,51,F,Blunt Object,Other Crime,7,No,
97,01-06-2020 02:00,05-01-2020 00:00,05-01-2020 15:36,Nagpur,523,Identity Theft,26,F,Explosives,Violent Crime,5,Yes,02-12-2020 02:00
98,01-06-2020 17:00,05-01-2020 01:00,05-01-2020 02:56,Kolkata,486,Sexual Assault,71,M,Blunt Object,Violent Crime,6,No,
99,01-06-2020 23:00,05-01-2020 02:00,05-01-2020 14:38,Hyderabad,292,Identity Theft,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00
100,01-06-2020 20:00,05-01-2020 03:00,05-01-2020 06:41,Hyderabad,455,Drug Offense,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00
101,01-06-2020 23:00,05-01-2020 04:00,05-01-2020 14:02,Ahmedabad,515,Public Intoxication,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00
102,01-05-2020 16:00,05-01-2020 05:00,05-01-2020 22:34,Mumbai,566,Extortion,69,F,Explosives,Other Crime,18,No,
103,01-07-2020 00:00,05-01-2020 06:00,05-01-2020 17:43,Kanpur,419,Assault,34,F,Other,Violent Crime,6,No,
104,01-07-2020 16:00,05-01-2020 07:00,05-01-2020 14:13,Mumbai,250,Vehicle - Stolen,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00
105,01-06-2020 23:00,05-01-2020 08:00,05-01-2020 19:30,Lucknow,597,Fraud,44,F,Blunt Object,Other Crime,16,No,
106,01-06-2020 00:00,05-01-2020 09:00,05-01-2020 10:05,Hyderabad,583,Vehicle - Stolen,69,F,None,Violent Crime,12,Yes,22-02-2020 00:00
107,01-05-2020 11:00,05-01-2020 10:00,05-01-2020 17:21,Lucknow,342,Domestic Violence,12,F,Blunt Object,Violent Crime,1,No,
108,01-07-2020 12:00,05-01-2020 11:00,06-01-2020 09:35,Bangalore,417,Arson,21,F,Poison,Fire Accident,3,Yes,02-09-2020 12:00
109,01-07-2020 20:00,05-01-2020 12:00,06-01-2020 00:07,Chennai,169,Public Intoxication,55,F,Blunt Object,Other Crime,8,No,
110,01-05-2020 17:00,05-01-2020 13:00,05-01-2020 23:32,Delhi,464,Arson,15,F,Other,Fire Accident,9,No,
111,01-07-2020 04:00,05-01-2020 14:00,05-01-2020 23:24,Visakhapatnam,500,Illegal Possession,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00
112,01-08-2020 05:00,05-01-2020 15:00,06-01-2020 07:02,Delhi,183,Counterfeiting,37,F,None,Other Crime,6,No,
113,01-07-2020 09:00,05-01-2020 16:00,06-01-2020 14:55,Bangalore,270,Homicide,49,F,Knife,Other Crime,7,Yes,11-08-2021 09:00
114,01-06-2020 15:00,05-01-2020 17:00,06-01-2020 06:42,Surat,259,Extortion,30,M,Poison,Other Crime,5,No,
115,01-07-2020 13:00,05-01-2020 18:00,06-01-2020 08:02,Pune,184,Firearm Offense,50,F,Blunt Object,Fire Accident,15,Yes,02-03-2020 13:00
116,01-05-2020 20:00,05-01-2020 19:00,06-01-2020 06:26,Mumbai,353,Burglary,64,F,Knife,Other Crime,10,No,
117,01-07-2020 04:00,05-01-2020 20:00,06-01-2020 10:15,Lucknow,235,Vandalism,43,M,Poison,Other Crime,14,Yes,13-03-2020 04:00
118,01-06-2020 20:00,05-01-2020 21:00,06-01-2020 02:16,Delhi,287,Drug Offense,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00
119,01-07-2020 19:00,05-01-2020 22:00,05-01-2020 23:48,Mumbai,257,Illegal Possession,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00
120,01-07-2020 02:00,05-01-2020 23:00,06-01-2020 07:04,Pune,537,Traffic Violation,70,M,None,Traffic Fatality,3,Yes,27-01-2020 02:00
121,01-07-2020 14:00,06-01-2020 00:00,06-01-2020 12:16,Ahmedabad,277,Vehicle - Stolen,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00
122,01-08-2020 19:00,06-01-2020 01:00,06-01-2020 22:59,Delhi,321,Kidnapping,22,F,Other,Other Crime,19,Yes,04-06-2020 19:00
123,01-06-2020 04:00,06-01-2020 02:00,07-01-2020 00:00,Bhopal,432,Vandalism,60,F,None,Other Crime,4,No,
124,01-08-2020 23:00,06-01-2020 03:00,06-01-2020 06:56,Ludhiana,129,Sexual Assault,44,F,Blunt Object,Violent Crime,2,No,
125,01-09-2020 00:00,06-01-2020 04:00,06-01-2020 19:19,Pune,347,Fraud,30,M,Knife,Other Crime,14,No,
126,01-09-2020 02:00,06-01-2020 05:00,06-01-2020 05:15,Pune,127,Assault,62,F,None,Violent Crime,10,No,
127,01-07-2020 07:00,06-01-2020 06:00,07-01-2020 00:44,Surat,117,Firearm Offense,42,F,None,Fire Accident,8,No,
128,01-07-2020 04:00,06-01-2020 07:00,07-01-2020 02:17,Ghaziabad,339,Identity Theft,73,F,Knife,Violent Crime,2,Yes,04-01-2020 04:00
129,01-09-2020 04:00,06-01-2020 08:00,06-01-2020 12:39,Kanpur,374,Shoplifting,25,M,Explosives,Other Crime,15,No,
130,01-08-2020 14:00,06-01-2020 09:00,06-01-2020 14:55,Ghaziabad,111,Robbery,33,M,Other,Violent Crime,3,Yes,20-05-2020 14:00
131,01-08-2020 13:00,06-01-2020 10:00,06-01-2020 19:26,Agra,331,Arson,13,F,Poison,Fire Accident,19,No,
132,01-07-2020 04:00,06-01-2020 11:00,07-01-2020 06:55,Lucknow,295,Identity Theft,39,F,Knife,Violent Crime,8,No,
133,01-06-2020 23:00,06-01-2020 12:00,06-01-2020 19:17,Bangalore,309,Homicide,18,M,None,Other Crime,2,No,
134,01-06-2020 22:00,06-01-2020 13:00,07-01-2020 00:56,Lucknow,465,Illegal Possession,75,F,Knife,Other Crime,8,No,
135,01-06-2020 18:00,06-01-2020 14:00,07-01-2020 07:26,Delhi,406,Vandalism,50,F,Other,Other Crime,15,No,
136,01-09-2020 07:00,06-01-2020 15:00,07-01-2020 02:16,Delhi,278,Fraud,71,F,Other,Other Crime,7,No,
137,01-07-2020 23:00,06-01-2020 16:00,07-01-2020 01:01,Ahmedabad,569,Public Intoxication,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00
138,01-08-2020 12:00,06-01-2020 17:00,06-01-2020 20:11,Mumbai,445,Assault,12,M,Blunt Object,Violent Crime,6,No,
139,01-08-2020 17:00,06-01-2020 18:00,07-01-2020 07:11,Kanpur,465,Kidnapping,57,F,Other,Other Crime,2,No,
140,01-08-2020 16:00,06-01-2020 19:00,07-01-2020 01:17,Jaipur,404,Cybercrime,47,F,Firearm,Other Crime,16,Yes,02-06-2020 16:00
141,01-08-2020 13:00,06-01-2020 20:00,07-01-2020 14:13,Delhi,270,Domestic Violence,73,F,Other,Violent Crime,14,No,
142,01-07-2020 23:00,06-01-2020 21:00,07-01-2020 06:34,Mumbai,113,Firearm Offense,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00
143,01-07-2020 09:00,06-01-2020 22:00,07-01-2020 12:37,Mumbai,278,Illegal Possession,45,F,None,Other Crime,2,No,
144,01-07-2020 06:00,06-01-2020 23:00,07-01-2020 16:49,Varanasi,487,Assault,79,F,Firearm,Violent Crime,14,Yes,02-04-2020 06:00
145,01-08-2020 20:00,07-01-2020 00:00,07-01-2020 03:38,Ludhiana,172,Identity Theft,17,M,Firearm,Violent Crime,10,No,
146,01-08-2020 01:00,07-01-2020 01:00,07-01-2020 16:44,Kolkata,165,Public Intoxication,15,F,Knife,Other Crime,16,No,
147,01-07-2020 16:00,07-01-2020 02:00,07-01-2020 18:49,Meerut,514,Cybercrime,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00
148,01-07-2020 16:00,07-01-2020 03:00,07-01-2020 22:27,Bangalore,262,Counterfeiting,28,F,Knife,Other Crime,8,No,
149,01-07-2020 06:00,07-01-2020 04:00,08-01-2020 01:09,Agra,558,Identity Theft,41,F,None,Violent Crime,5,Yes,27-02-2020 06:00
150,01-07-2020 08:00,07-01-2020 05:00,07-01-2020 11:19,Patna,157,Shoplifting,46,F,Knife,Other Crime,1,Yes,04-03-2020 08:00
151,01-08-2020 08:00,07-01-2020 06:00,07-01-2020 13:59,Bhopal,241,Drug Offense,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00
152,01-07-2020 08:00,07-01-2020 07:00,07-01-2020 16:17,Bangalore,311,Illegal Possession,67,M,None,Other Crime,16,No,
153,01-08-2020 01:00,07-01-2020 08:00,07-01-2020 17:21,Delhi,248,Identity Theft,23,F,Knife,Violent Crime,16,No,
154,01-09-2020 16:00,07-01-2020 09:00,07-01-2020 19:49,Chennai,523,Kidnapping,39,F,Other,Other Crime,11,No,
155,01-10-2020 06:00,07-01-2020 10:00,07-01-2020 19:37,Bangalore,238,Domestic Violence,48,F,Blunt Object,Violent Crime,5,No,
156,01-10-2020 05:00,07-01-2020 11:00,07-01-2020 12:05,Pune,109,Domestic Violence,71,F,Blunt Object,Violent Crime,14,Yes,04-02-2020 05:00
157,01-07-2020 13:00,07-01-2020 12:00,07-01-2020 13:48,Hyderabad,448,Counterfeiting,32,F,Other,Other Crime,8,No,
158,01-08-2020 16:00,07-01-2020 13:00,08-01-2020 03:32,Ahmedabad,588,Homicide,18,F,Firearm,Other Crime,13,No,
159,01-09-2020 18:00,07-01-2020 14:00,08-01-2020 06:49,Delhi,236,Vehicle - Stolen,38,F,Poison,Violent Crime,15,Yes,02-08-2020 18:00
160,01-07-2020 19:00,07-01-2020 15:00,08-01-2020 14:26,Kolkata,509,Assault,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00
161,01-09-2020 03:00,07-01-2020 16:00,08-01-2020 09:21,Meerut,321,Counterfeiting,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00
162,01-07-2020 21:00,07-01-2020 17:00,07-01-2020 17:22,Surat,420,Cybercrime,17,F,None,Other Crime,12,No,
163,01-09-2020 16:00,07-01-2020 18:00,08-01-2020 09:50,Pune,589,Shoplifting,39,F,Knife,Other Crime,15,No,
164,01-08-2020 20:00,07-01-2020 19:00,08-01-2020 02:04,Pune,492,Arson,66,F,Firearm,Fire Accident,5,No,
165,01-10-2020 00:00,07-01-2020 20:00,08-01-2020 06:07,Ghaziabad,312,Sexual Assault,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00
166,01-10-2020 14:00,07-01-2020 21:00,08-01-2020 00:42,Ahmedabad,234,Vandalism,54,M,Firearm,Other Crime,19,Yes,03-10-2020 14:00
167,01-08-2020 16:00,07-01-2020 22:00,08-01-2020 05:25,Delhi,470,Vandalism,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00
168,01-08-2020 22:00,07-01-2020 23:00,08-01-2020 02:01,Delhi,518,Fraud,12,F,Firearm,Other Crime,3,Yes,03-04-2020 22:00
169,01-08-2020 16:00,08-01-2020 00:00,08-01-2020 00:14,Lucknow,295,Drug Offense,19,F,Blunt Object,Other Crime,16,No,
170,01-10-2020 07:00,08-01-2020 01:00,08-01-2020 05:22,Kalyan,342,Traffic Violation,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00
171,01-09-2020 11:00,08-01-2020 02:00,08-01-2020 18:43,Agra,352,Counterfeiting,24,M,None,Other Crime,14,Yes,03-11-2020 11:00
172,01-08-2020 15:00,08-01-2020 03:00,09-01-2020 01:57,Jaipur,305,Traffic Violation,58,M,Poison,Traffic Fatality,4,No,
173,01-11-2020 03:00,08-01-2020 04:00,08-01-2020 13:20,Hyderabad,245,Sexual Assault,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00
174,01-09-2020 20:00,08-01-2020 05:00,09-01-2020 01:34,Indore,438,Drug Offense,40,F,None,Other Crime,7,No,
175,01-09-2020 00:00,08-01-2020 06:00,08-01-2020 10:27,Surat,144,Robbery,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020 00:00
176,01-09-2020 23:00,08-01-2020 07:00,08-01-2020 22:06,Lucknow,292,Burglary,66,F,None,Other Crime,14,Yes,28-06-2020 23:00
177,01-08-2020 14:00,08-01-2020 08:00,09-01-2020 02:25,Chennai,134,Firearm Offense,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00
178,01-09-2020 15:00,08-01-2020 09:00,08-01-2020 16:59,Mumbai,331,Illegal Possession,54,F,None,Other Crime,11,No,
179,01-10-2020 12:00,08-01-2020 10:00,09-01-2020 07:31,Agra,191,Fraud,42,F,Knife,Other Crime,8,No,
180,01-10-2020 01:00,08-01-2020 11:00,09-01-2020 02:31,Pune,584,Domestic Violence,72,M,Blunt Object,Violent Crime,14,Yes,23-01-2020 01:00
181,01-10-2020 18:00,08-01-2020 12:00,09-01-2020 07:34,Bangalore,341,Traffic Violation,23,F,Poison,Traffic Fatality,1,No,
182,01-10-2020 13:00,08-01-2020 13:00,09-01-2020 12:16,Mumbai,541,Cybercrime,53,F,Poison,Other Crime,9,No,
183,01-10-2020 09:00,08-01-2020 14:00,08-01-2020 17:18,Ahmedabad,133,Sexual Assault,28,F,Firearm,Violent Crime,12,Yes,05-09-2021 09:00
184,01-10-2020 04:00,08-01-2020 15:00,08-01-2020 23:28,Hyderabad,422,Sexual Assault,27,F,None,Violent Crime,4,No,
